TICKER,ReturnEarly2020,ReturnLate2020
JJSF,-0.340234493,0.300340414
PLXS,-0.290875889,0.433469101
HNGR,-0.435711705,0.411424534
ORCL,-0.08359557,0.356166065
MSFT,0.003212116,0.421139375
TROW,-0.191152093,0.581942064
HON,-0.239929857,0.615644289
AMRC,-0.026857206,2.067522046
RGEN,0.043676159,0.984980969
BWXT,-0.212306733,0.249688571
PTVCB,-0.139438921,0.018376189
INDB,-0.221260948,0.159761933
HVT,-0.407920433,1.646724844
TMP,-0.210166889,0.007703186
BCPC,-0.02863348,0.173015229
DJCO,-0.213897437,0.769598223
ASTE,-0.16476152,0.666036469
WERN,-0.001139266,0.09134702
SKYW,-0.592604183,0.539135548
FRPH,-0.136719369,0.059301248
AMWD,-0.563964888,1.059469696
ADM,-0.233734376,0.468212629
VIVO,-0.140224979,1.225001345
CLFD,-0.149928968,1.086076385
WTS,-0.149385099,0.447961065
FNB,-0.410236166,0.349906864
EHC,-0.071604531,0.307265173
FISV,-0.178500677,0.198651453
FCNCA,-0.373800059,0.730492787
HTLD,-0.116864684,-0.022244226
OSUR,0.339975173,-0.01626396
CAL,-0.778105159,2.070773706
BC,-0.407643281,1.181158729
UIS,0.041314771,0.593519748
WSFS,-0.431535097,0.82189682
ITIC,-0.193215704,0.312837179
CERN,-0.141708926,0.25906233
WBS,-0.566317988,0.913796335
MKL,-0.188318312,0.113601055
AXGN,-0.418669258,0.721154389
FLIC,-0.295333922,0.054060147
FBP,-0.494476108,0.775296223
AVD,-0.256291838,0.074689626
PLAB,-0.34898511,0.087719041
CRMT,-0.486138913,0.949243421
ARGO,-0.433243815,0.21052218
OFG,-0.523506895,0.68269808
CATO,-0.367816084,-0.101219026
FBNC,-0.41718855,0.496908195
WSBC,-0.364382239,0.317208525
KO,-0.193134609,0.271100688
SAFM,-0.298566204,0.081316042
CNBKA,-0.307171181,0.250218717
UBSI,-0.393947619,0.460359393
ENV,-0.227630868,0.53012271
WASH,-0.310838951,0.27985095
CDNS,-0.047866264,1.065869945
ED,-0.129467797,-0.044490616
CHCO,-0.182049413,0.073865206
EBIX,-0.544356337,1.524401697
CECE,-0.390339285,0.490365447
FICO,-0.178792245,0.660893346
CNMD,-0.486094791,0.969579962
HBNC,-0.477372175,0.660691005
EPAC,-0.364195055,0.369229696
ATRI,-0.133000851,-0.0038683
XRAY,-0.312069471,0.357179861
FAST,-0.148200632,0.603887613
CPF,-0.457305719,0.247943006
HRTX,-0.50042477,0.802813277
CRK,-0.345078759,-0.189239193
GDOT,0.089699211,1.197716548
DTE,-0.260934441,0.313436685
MATX,-0.244538761,0.893097665
IMKTA,-0.23588473,0.194851238
AIN,-0.374077567,0.566485752
IIVI,-0.153549278,1.665262321
ETN,-0.172085719,0.580318088
JOUT,-0.180761597,0.808632834
SIVB,-0.398183377,1.56705011
ALCO,-0.131173784,0.011225839
MITK,0.030065062,1.256346043
CLH,-0.401282556,0.482275067
CYBE,-0.069096279,0.326123108
CTBI,-0.310248924,0.207459556
XOM,-0.446658116,0.1562577
IPAR,-0.357997756,0.305070203
MGM,-0.640816946,1.671254974
MXIM,-0.202901899,0.851774186
WM,-0.18300218,0.292763123
KKR,-0.191890445,0.746300463
TCF,-0.511161625,0.69246621
COKE,-0.26519042,0.281036961
DY,-0.455991429,1.944247911
QUAD,-0.443522574,0.515874835
GATX,-0.239833081,0.357950405
GORO,-0.502295052,0.067239595
GD,-0.245368023,0.152329735
GE,-0.287633863,0.36564148
LH,-0.252882003,0.610488557
ONB,-0.27243448,0.292460883
WSR,-0.53086165,0.346838305
PBCT,-0.338627528,0.226884407
SIG,-0.698795736,3.227910288
COR,0.044594216,0.11385884
FRBK,-0.476076827,0.301371021
HIFS,-0.306901971,0.508964553
LNN,-0.042955826,0.415894404
MGPI,-0.442517809,0.766465625
CDMO,-0.333768439,1.258318939
AMRS,-0.171520401,1.412108332
CHTR,-0.100540249,0.516239243
EFC,-0.674755889,1.776799702
LYB,-0.466985296,0.929988732
PACB,-0.404669785,7.477125049
VRA,-0.650847852,0.932037512
BAH,-0.030810986,0.284226902
GM,-0.42185764,1.00385072
HHC,-0.601577464,0.562352
CMRE,-0.519727547,0.942968398
LPLA,-0.407262839,0.932612966
ZGNX,-0.525609418,-0.191668945
FRC,-0.2982455,0.795180528
FLT,-0.351661571,0.462581003
INFU,-0.004689682,1.212013059
KNX,-0.082589423,0.282405971
TRGP,-0.826542064,2.892262468
WD,-0.373939558,1.330979172
ACNB,-0.20026322,-0.139721916
IBM,-0.162110586,0.180144466
QADA,-0.215982872,0.592247915
ASMB,-0.275170552,-0.592042417
NAV,-0.430199898,1.665860208
AAT,-0.448801642,0.185749791
BKU,-0.485256697,0.920308105
IBIO,3.257028823,-0.009432953
NLSN,-0.379310015,0.683780533
KMI,-0.3345892,0.039374667
NPTN,-0.178005039,0.253793731
INN,-0.651382469,1.135070823
ITT,-0.383994218,0.711478677
ACRX,-0.440758385,0.050847694
FLDM,-0.270115636,1.362206297
PCRX,-0.259823147,0.784671283
USCR,-0.564570371,1.203415079
APO,-0.282839993,0.507836578
FF,-0.085029807,0.473813055
HCA,-0.390066679,0.830385241
HII,-0.270076659,-0.046424591
CSOD,-0.457728471,0.387084886
AL,-0.530934407,1.034181449
KSU,-0.167015151,0.616383117
APTS,-0.441254326,0.114283539
STAG,-0.277107402,0.441889426
RLJ,-0.563769346,0.838261224
ECOL,-0.47329796,0.195064802
SR,-0.098517182,-0.11295736
THR,-0.437686961,0.037160325
KOS,-0.834947387,1.623937377
SAVE,-0.680227775,0.896816746
WIFI,-0.031050657,0.198867878
MPC,-0.603171964,0.836058948
AMCX,-0.384556696,0.471412551
SXC,-0.373979281,0.18460726
CHEF,-0.73576481,1.551143417
HZNP,-0.181767736,1.469616107
ZG,-0.257324087,3.001766508
FBHS,-0.33550493,1.001180842
VER,-0.45589809,0.598763748
FMNB,-0.280637647,0.172839195
LCNB,-0.339727021,0.209809158
XYL,-0.170592652,0.578351149
UI,-0.249163199,0.977876882
VAC,-0.565936175,1.468875969
APTV,-0.48006021,1.64601707
ACHC,-0.447622786,1.738966794
CLVS,-0.38992777,-0.245282002
GRPN,-0.589873995,0.938124145
BCEI,-0.517994526,0.718223036
CPRI,-0.717169097,2.892496485
FBIO,-0.264591488,0.677247816
TRIP,-0.427583389,0.654974326
ZNGA,0.119280539,0.440874998
GWRE,-0.277489875,0.62312386
POST,-0.239504936,0.217428187
RLGT,-0.305207225,0.498708042
REGI,-0.238219351,2.449583329
VSTM,0.97015066,-0.193181886
EPAM,-0.124905855,0.930140895
MTDR,-0.861992442,3.862908121
PRLB,-0.250320797,1.014972951
SLCA,-0.704065324,2.90000157
BCOV,-0.19792869,1.639885574
CCXI,0.01592882,0.541063538
HMST,-0.342555912,0.543273749
ALSN,-0.321606197,0.340384874
RM,-0.545121404,1.202302254
NL,-0.227622038,0.655419228
RXN,-0.303120549,0.755140271
VCRA,0.023121732,0.955272942
YELP,-0.48234235,0.811979996
CSTE,-0.298606055,0.233786353
ENPH,0.23574368,4.43418746
GALT,-0.314685554,0.142856567
MTSI,-0.288345184,1.907556765
HEAR,-0.33968293,2.453525309
ACRE,-0.537878836,0.879944577
MRC,-0.687683281,0.55634038
PSX,-0.512656026,0.358815164
RPAI,-0.601819234,0.681660991
FRGI,-0.592518013,1.828786641
PFPT,-0.106202304,0.329662045
SPLK,-0.157174932,0.345876964
TLYS,-0.610988498,0.975787009
WMC,-0.778315634,0.487144282
CG,-0.31919578,0.492532278
FB,-0.187332671,0.637649162
SUPN,-0.241568528,0.398556937
ALEX,-0.455629829,0.54456285
HTA,-0.198149713,0.177180614
NOW,0.015089096,0.920683335
TROX,-0.557793193,2.006412302
ANAT,-0.292998198,0.204582546
NGVC,-0.129044151,0.864146341
PANW,-0.290983426,1.167542914
CHUY,-0.611496694,1.630584769
FIVE,-0.449554516,1.486215033
FSBW,-0.433167876,0.543935455
HBMD,-0.356635465,0.087475844
HTBI,-0.404885881,0.230276322
FRG,-0.624138081,2.673121208
GMED,-0.277683352,0.53350644
BLMN,-0.672887396,1.719888014
HY,-0.315563208,0.518792397
NBHC,-0.316971659,0.399493392
PNR,-0.348338369,0.808571234
LFVN,-0.340166592,-0.095145843
QLYS,0.04342073,0.400965184
BERY,-0.290166971,0.66686509
OLN,-0.315121418,1.197461386
PBYI,-0.035428332,0.215639925
RLGY,-0.68905003,3.358804795
SSTK,-0.246035515,1.252963817
WDAY,-0.208148173,0.840038976
AMBA,-0.198150442,0.890856571
FANG,-0.713816676,0.899192447
ICPT,-0.491930614,-0.607687244
RH,-0.529414316,3.454257399
PCG,-0.172953427,0.385983234
CHMG,-0.217882376,0.056603712
NEO,-0.056068612,0.95001705
PRTA,-0.324069148,0.122428856
UIHC,-0.262489359,-0.362755288
ABBV,-0.12695186,0.464301652
PBF,-0.771282267,0.002823769
BFAM,-0.321312541,0.69598087
TPH,-0.437098827,0.966931305
CONE,-0.04860183,0.209819884
LAND,-0.07675565,0.26950398
FWONA,-0.410233203,0.471339043
NCLH,-0.812361076,1.320256544
BCC,-0.347193368,1.109494326
ORC,-0.46786333,0.980405261
AMSWA,-0.038641147,0.232781551
RC,-0.505836908,0.872710305
ZTS,-0.109441195,0.412048757
INBK,-0.304934928,0.767461215
XONE,-0.143432159,0.485132161
APAM,-0.305307714,1.478086201
MODN,-0.366695458,0.606483889
ENTA,-0.167529653,-0.181411059
EVTC,-0.330787098,0.738240311
HASI,-0.365755266,2.219037797
PEP,-0.114253399,0.262172952
SEAS,-0.6524759,1.866607779
TMHC,-0.496797736,1.331819166
TXMD,-0.561983522,0.141510297
CMRX,-0.290640752,2.354167636
HMTV,-0.424916109,0.2131149
IBTX,-0.57056462,1.68620529
AHH,-0.404904622,0.071456548
ECOM,-0.196902891,1.201103134
MO,-0.208375535,0.130268992
VOYA,-0.333133479,0.46313941
NRZ,-0.68901355,1.107627076
PFSI,-0.348259816,1.994745953
IQV,-0.301923036,0.661134868
ARCT,0.250229125,2.192050713
AMBC,-0.427908785,0.24635407
CUBI,-0.540949101,0.848919229
EPZM,-0.369512078,-0.299807164
COP,-0.522264033,0.345959621
NRC,-0.307097685,-0.060025933
PVH,-0.641678326,1.494421135
TSC,-0.629785956,0.799378687
BLUE,-0.476239456,-0.058527513
CDW,-0.344858643,0.426936375
ESPR,-0.471239338,-0.17538884
GOGO,-0.668749682,3.542452491
NDLS,-0.149819582,0.677280546
NSTG,-0.135513748,1.7808747
NWSA,-0.358203342,1.016506807
NWS,-0.373535736,0.990779409
PTCT,-0.071205773,0.368080547
SAMG,-0.235294131,0.526902288
COTY,-0.535121551,0.360466612
GTT,-0.299559552,-0.550943094
AMGN,-0.152303798,0.15751363
CWEN,-0.09269254,0.781975447
DOC,-0.255243513,0.330374849
REXR,-0.097329432,0.21467949
SRC,-0.455571169,0.617413205
AGIO,-0.256963379,0.221250578
LIND,-0.744954344,3.105513164
MRTX,-0.403460694,1.857285853
AMH,-0.112933605,0.299944007
IRT,-0.365057541,0.574245356
MUSA,-0.278973953,0.554354323
FI,-0.499032797,0.057917186
ASC,-0.414616075,-0.377142882
FOXF,-0.396291439,1.516905571
SFM,-0.03927639,0.081226456
RNG,0.256359538,0.788350588
SAIC,-0.138765246,0.285962625
AAOI,-0.361111006,0.121212103
BNFT,-0.593892245,0.625137993
FEYE,-0.359951173,1.179583658
NVEE,-0.181566031,0.907965997
ISEE,-0.599067328,1.008720364
PINC,-0.136219383,0.084750467
TCFC,-0.376406138,0.21826341
XLRN,0.695019979,0.423610883
DOOR,-0.342888653,1.072497097
AR,-0.749859816,6.644828332
BRX,-0.55411175,0.78546671
BURL,-0.305091783,0.650573839
CHMI,-0.547635613,0.610172349
CXP,-0.395543979,0.204706506
CPS,-0.690289115,2.375853913
ESRT,-0.350644667,0.055780762
MMI,-0.272482709,0.373801423
QTS,0.077575518,0.090771871
RMAX,-0.424785663,0.692688373
OMF,-0.511450368,1.790973346
VEEV,0.111687855,0.741063049
ESNT,-0.490286836,0.660744352
AERI,-0.441456428,0.000740165
COMM,-0.357998495,0.470910596
FATE,0.134900129,3.094100784
GLPI,-0.34006994,0.610973277
MGNX,-0.465073478,2.927834359
SRNE,-0.455621168,2.709241007
VCYT,-0.129298755,1.013162872
CHGG,-0.056185441,1.524596654
TCS,-0.44075768,3.042372888
SLB,-0.658234191,0.651726728
STAY,-0.492597876,1.030855043
TWTR,-0.233696651,1.204804478
ALLE,-0.258551639,0.276287883
FRBA,-0.370012765,0.367661208
HMHC,-0.699199895,0.771278657
KPTI,0.002087016,-0.194168552
LGIH,-0.360934168,1.344408614
NMIH,-0.65009075,0.950903043
TNDM,0.079516933,0.486865712
AMC,-0.559391586,-0.329113827
ARMK,-0.53840456,0.948904342
CTT,-0.361285225,0.355437513
UUUU,-0.382199303,2.610168582
HLT,-0.383776828,0.630422972
KIN,-0.528302205,0.077499382
XNCR,-0.131141802,0.460173856
OGS,-0.100462152,-0.062933709
ESI,-0.284246808,1.128491428
SC,-0.399426242,0.624608572
CARA,-0.180012821,0.14534508
EIGR,-0.54362431,0.807353355
DRNA,-0.166136507,0.199238023
GLYC,-0.568998337,0.649120821
ITCI,-0.552025853,1.068967858
TACO,-0.566097859,1.641400583
MBUU,-0.296947346,1.168810412
RARE,0.040271402,2.115684877
CNCE,-0.0417341,0.429862623
EGRX,-0.234353407,0.012391192
FLXN,-0.619806341,0.466327006
INGN,-0.243963583,-0.135114009
RVNC,-0.088108909,0.914864025
VRNS,-0.180672033,1.569659836
IBP,-0.4210829,1.556556124
KN,-0.367375697,0.377430924
LADR,-0.718403238,1.218073787
GCI,-0.768025009,1.270271384
ATEN,-0.096070291,0.587761419
BRG,-0.524274207,1.400578129
OUT,-0.483221283,0.451038455
QUOT,-0.340770555,0.449230658
QTWO,-0.271583303,1.142396775
TNET,-0.334746766,1.140201325
APOG,-0.355610425,0.560918893
AKBA,0.199367229,-0.630607264
NLTX,-0.076297958,0.239016692
CVX,-0.390411749,0.217788154
GOOG,-0.130297449,0.506592239
BLBD,-0.52312377,0.670628954
LE,-0.682143272,3.039326732
PCTY,-0.268995256,1.331410976
REPH,-0.554282632,-0.651162486
TWOU,-0.115464405,0.885484775
ALLY,-0.525013444,1.541488422
CIO,-0.455941415,0.428275867
FPI,-0.097345366,0.462938242
GRUB,-0.162623074,0.823474891
MC,-0.084967419,0.779539105
PAYC,-0.237007754,1.238749703
AAPL,-0.131597599,1.099543242
FIVN,0.165904081,1.280929584
NAVI,-0.434210368,0.372086461
PAHC,-0.021747668,-0.182125033
PFIS,-0.204255352,-0.046685152
SABR,-0.729500722,1.026980809
SPWH,-0.232876257,1.849027056
ARES,-0.122162861,0.564899076
HRTG,-0.187169444,-0.038525196
DNOW,-0.540925771,0.391471216
ZEN,-0.164687234,1.235902238
LPG,-0.437338905,0.399539479
AGRX,-0.256000082,0.543012072
BWFG,-0.468271395,0.314970033
CTRE,-0.270964299,0.560274511
FMBH,-0.326524979,0.459792904
QTNT,-0.584647613,0.318985352
SFBS,-0.217224694,0.394861916
TBPH,-0.107376994,-0.231069964
TRUE,-0.490526472,0.735538396
RYAM,-0.723958329,5.150940713
TMST,-0.589058276,0.445822357
CLNY,-0.608420865,1.748570543
AMPH,-0.230689723,0.355121469
ARDX,-0.242504975,0.138083038
CBAY,-0.244898513,2.878372986
GPRO,-0.396313484,2.160302657
AMAT,-0.246632184,0.902645342
INFO,-0.201815782,0.507269235
RDUS,-0.355158291,0.373845614
ANET,-0.004178652,0.434557395
ASPN,-0.20876261,1.718240897
CCS,-0.469469392,2.017228535
VRTV,-0.600406425,1.645041577
TSE,-0.506524573,1.973079631
WMS,-0.240388952,1.85305098
TREC,-0.167832823,0.174789524
CTLT,-0.077263374,1.003274649
PARR,-0.694491789,0.969013414
SYF,-0.549801531,1.221581051
TRUP,-0.305125458,3.598924649
GLOB,-0.171334796,1.476215552
OEC,-0.603108366,1.297587251
ADVM,-0.151909074,0.10951825
TKR,-0.422092594,1.429828919
CDNA,0.012053812,2.318825853
HQY,-0.316997154,0.377939409
ISTR,-0.467916893,0.318531795
FWONK,-0.407592492,0.564449344
LOCO,-0.441875654,1.142008741
MRNS,-0.060185071,0.502461115
TR,0.055946095,-0.166901936
NERV,-0.153305177,-0.611295836
OCUL,0.2531632,3.18181495
SAGE,-0.602160644,2.01218861
SPKE,-0.306309493,0.621806997
XENT,-0.524096292,0.932488167
RYI,-0.550296273,1.563912625
LTRPA,-0.755101848,1.411110496
VEC,-0.192157433,0.200676851
CFG,-0.531967567,0.992752633
AFMD,-0.423357714,2.683544449
BCLI,0.08411208,-0.024784818
CDK,-0.397273558,0.593561093
KEYS,-0.184644449,0.578512247
AVNS,-0.20089006,0.703676773
KE,-0.377777778,0.464286357
LBRDA,-0.140975844,0.472711852
BGSF,-0.651643768,0.836057499
BOOT,-0.70963361,2.353440043
ENVA,-0.397755854,0.709453411
GWB,-0.403896193,0.032625334
HUBS,-0.159685303,1.976501337
SNR,-0.64836621,1.119508841
W,-0.408653313,3.225479884
BSIG,-0.364970359,2.023544093
LBRDK,-0.119522993,0.430362247
ATRA,-0.483302618,1.306698377
CALA,-0.22241709,0.105856134
PLAY,-0.673203743,1.295105199
SIEN,-0.777405239,0.954775681
VBTX,-0.517038103,0.886825029
NVRO,-0.149395507,0.731342682
PGRE,-0.360632458,0.063465525
STOR,-0.504027909,0.948237729
AXTA,-0.431908122,0.65315706
ADMA,-0.28000021,-0.322915811
CHRS,-0.099139271,0.071517107
FFWM,-0.408620278,0.982881079
FGEN,-0.189787694,0.067340482
FRPT,0.080893044,1.223112073
MRO,-0.7562688,1.037627793
AROW,-0.255820215,0.136069432
SYNH,-0.33720053,0.728311426
JYNT,-0.32775743,1.420274213
EVFM,-0.137763476,-0.546992773
PRAH,-0.252901481,0.510598911
TBK,-0.316149393,0.867306683
UPLD,-0.248950024,0.711035195
LC,-0.377971257,0.345221639
NEWR,-0.296301963,0.414359339
WK,-0.231154037,1.833902454
CTSO,1.00779321,0.031048212
JRVR,-0.113321331,0.382867628
UE,-0.529197307,0.520999217
BOX,-0.163289595,0.285612631
SHAK,-0.366460063,1.246422388
VSTO,0.176470264,1.699998391
FNWB,-0.398558055,0.452710551
DEA,0.049305545,-0.049978065
AJX,-0.433139797,0.739345795
NVTA,-0.15251043,2.05852347
VMC,-0.247340512,0.383919416
XHR,-0.510643472,0.475730193
INOV,-0.114772403,0.090635343
RCKT,-0.387082589,2.931183943
IOVA,0.081467026,0.550026617
ATEX,0.05693061,-0.176702678
NXRT,-0.432834041,0.718820275
ENSV,-0.37102132,0.064615136
SUM,-0.372384655,0.338666563
SEDG,-0.138920548,2.897409119
UNIT,-0.247259139,1.030256322
BPMC,-0.270003493,0.917747772
KALV,-0.570466161,1.482356001
CRBP,-0.04029306,-0.761450283
ETSY,-0.132279953,3.628253214
VIRT,0.318676481,0.245424276
VKTX,-0.416458906,0.202990701
XBIT,-0.43102056,0.473633594
GDDY,-0.159157835,0.452458383
ASB,-0.413521191,0.384357328
NSA,-0.109755375,0.256128137
IGT,-0.589178751,1.847056788
CWEN,-0.048238427,0.754542478
APLE,-0.421346239,0.407850365
CHCT,-0.099030806,0.267945421
COLL,-0.206511257,0.226576602
CABO,0.106076872,0.360226847
BLD,-0.305005626,1.569512393
CC,-0.501424903,1.912192436
ENR,-0.393446684,0.423133228
SPNE,-0.319734004,1.135865632
KHC,-0.217553684,0.45299628
ALRM,-0.094484746,1.658699272
APPF,0.009096004,0.622712699
LNTH,-0.377864181,0.057208764
MCRB,0.034783214,5.862744682
PIRS,-0.370166402,0.096489294
WING,-0.07445184,0.733108841
EVH,-0.40000021,1.95212119
GKOS,-0.433448774,1.438755429
GNL,-0.323794504,0.387190797
FL,-0.428810261,0.870215262
ATRO,-0.671556417,0.441177086
TRU,-0.226082838,0.503082929
UNVR,-0.557756288,0.773318988
PYPL,-0.114910707,1.446212722
LITE,-0.070618302,0.28629671
CHMA,-0.264112272,0.191779697
RBNC,-0.490702794,0.684920826
CYRX,0.03705955,1.570591191
LOB,-0.342748831,2.821673759
MCFT,-0.53650793,2.40273734
NTRA,-0.113682962,2.332886184
OLLI,-0.290461416,0.764566245
PVBC,-0.307631393,0.405989545
RILY,-0.25456762,1.489211905
RPD,-0.226525857,1.080775332
Z,-0.215934223,2.603553026
CCR,-0.350987489,-0.317543338
TXN,-0.215250927,0.678329265
OOMA,-0.098261417,0.207042905
SRG,-0.772704079,0.611415963
TDOC,0.851528924,0.289982645
GNK,-0.379001331,0.157576964
HLI,0.072847127,0.31074731
PLNT,-0.347884239,0.594046859
GBT,-0.357276845,-0.152281581
PRPL,-0.34787616,4.799294487
RUN,-0.268645717,5.869309465
FLOW,-0.418456494,1.039409716
PJT,-0.037447546,0.73854488
CSWI,-0.156293075,0.735423209
DSKE,-0.556962348,3.150002661
RGNX,-0.20966499,0.40086508
PEN,-0.017896428,0.084734599
LIVN,-0.400105789,0.463202359
HPE,-0.380202236,0.263937249
ACBI,-0.353133589,0.341193886
EXTN,-0.386973277,-0.07916586
FCPT,-0.318678628,0.647606341
EIX,-0.264984763,0.186614595
PFGC,-0.519813217,0.92596944
PSTG,-0.281122516,0.838213213
ABTX,-0.356842809,0.4312192
AVXL,0.216216764,0.714284891
CTMX,-0.077016262,-0.146022254
WSC,-0.452136324,1.287263664
TWNK,-0.266849792,0.373358239
NVCR,-0.200901791,1.569650073
SGRY,-0.582880785,3.44257181
AC,-0.219387664,0.16025527
SQ,-0.162723982,3.155022576
AXSM,-0.430823666,0.384837786
DLTH,-0.619183569,1.633414466
EQBK,-0.441204998,0.25159516
FGBI,-0.329811872,0.275436498
KURA,-0.276363734,2.282412627
MIME,-0.186261758,0.610198932
MTCH,-0.195712202,1.366521844
RMR,-0.404196386,0.490415339
VYGR,-0.344085641,-0.218579855
WVE,0.169058009,-0.160085519
AGR,-0.135653383,0.06888387
OSG,-0.013044002,-0.057269371
OCX,0.088889279,-0.024490338
SMBK,-0.355177563,0.20425186
TEAM,0.140601257,0.703845457
WKHS,-0.40460501,9.928170869
GCP,-0.216203674,0.328651184
WBT,-0.671364817,1.573099875
EDIT,-0.330293382,2.535553787
NCBS,-0.260933786,0.215647518
SNDX,0.249429916,1.027347596
VRAY,-0.407583296,0.527998574
UA,-0.579770546,0.846152133
BATRA,-0.342326653,0.275385371
BATRK,-0.354773238,0.305351577
LSXMA,-0.344435293,0.388337091
LSXMK,-0.343165416,0.401997343
AGLE,-0.390052478,0.688840081
CDXC,-0.243618965,0.472391252
GWRS,-0.220211178,0.441718389
RRR,-0.638831182,1.92865611
SCWX,-0.309123216,0.235448183
VBIV,-0.311593973,1.894734309
NGVT,-0.597161441,1.15141801
MSBI,-0.38928085,0.075739687
NTLA,-0.166325507,3.448074792
PLSE,-0.466070036,2.332403591
RETA,-0.293939579,-0.143549811
GMS,-0.419128002,0.937698525
SITE,-0.187865106,1.154712248
TPB,-0.260140188,1.121254414
USFD,-0.57722572,0.880858554
FTV,-0.276791315,0.494503191
HONE,-0.314831135,0.455855858
SELB,0.012604913,0.257260702
SYRS,-0.141823242,0.829680767
ATKR,-0.479238727,0.95111439
AZZ,-0.385509518,0.713876007
GMRE,-0.219954407,0.353160345
TWLO,-0.08943832,2.78254202
TRTN,-0.343531805,0.954475808
KDMN,-0.07505569,-0.009546342
VRS,-0.374376279,0.09718257
KNSL,0.028993532,0.917228219
WTRH,2.819873757,1.260160128
PAVM,0.649999369,0.070706781
